,Name,API_Name,Instance_Memory,vCPUs,Instance_Storage,Network_Performance,On_Demand,Linux_Reserved_cost,Linux_Spot_Minimum_cost,Windows_On_Demand_cost,Windows_Reserved_cost
484,I4G Eight Extra Large,i4g.8xlarge,256,32,7500 GB                 (2 * 3750 GB NVMe SSD),18.75 Gigabit,2.471,$1.6036 hourly,$0.9135 hourly,,
485,M5AD 12xlarge,m5ad.12xlarge,192,48,1800 GB                 (2 * 900 GB NVMe SSD),10 Gigabit,2.472,$1.5570 hourly,$1.1667 hourly,$4.6800 hourly,$3.7650 hourly
486,I3 High I/O Eight Extra Large,i3.8xlarge,244,32,7600 GB                 (4 * 1900 GB NVMe SSD),10 Gigabit,2.496,$1.7140 hourly,$1.1261 hourly,$3.9680 hourly,$3.1860 hourly
487,M6IDN Eight Extra Large,m6idn.8xlarge,128,32,1900 GB                 NVMe SSD,50 Gigabit,2.5459,$1.6039 hourly,$1.2330 hourly,$4.0179 hourly,$3.0759 hourly
488,M7GD 12xlarge,m7gd.12xlarge,192,48,2850 GB                 (2 * 1425 GB NVMe SSD),22.5 Gigabit,2.5628,$1.6146 hourly,$1.0585 hourly,,
489,R7G 12xlarge,r7g.12xlarge,384,48,EBS only,22.5 Gigabit,2.5704,$1.7003 hourly,$1.0793 hourly,,
490,G2 Eight Extra Large,g2.8xlarge,60,32,EBS only,High,2.6,,,$2.8780 hourly,
491,M7G Metal,m7g.metal,256,64,EBS only,30 Gigabit,2.6112,$1.7273 hourly,$1.1226 hourly,,
492,M7G 16xlarge,m7g.16xlarge,256,64,EBS only,30 Gigabit,2.6112,$1.7273 hourly,$1.1898 hourly,,
493,R3 High-Memory Eight Extra Large,r3.8xlarge,244,32,640 GB                 (2 * 320 GB SSD),10 Gigabit,2.66,$1.6720 hourly,$1.0858 hourly,$3.5000 hourly,$1.9890 hourly
494,R5DN Eight Extra Large,r5dn.8xlarge,256,32,1200 GB                 (2 * 600 GB NVMe SSD),25 Gigabit,2.672,$1.6830 hourly,$1.5493 hourly,$4.1440 hourly,$3.1550 hourly
495,X2GD Eight Extra Large,x2gd.8xlarge,512,32,1900 GB                 NVMe SSD,12 Gigabit,2.672,$1.6466 hourly,$1.2385 hourly,,
496,I3EN 6xlarge,i3en.6xlarge,192,24,15000 GB                 (2 * 7500 GB NVMe SSD),25 Gigabit,2.712,$1.8470 hourly,$0.9939 hourly,$3.8160 hourly,$2.9510 hourly
497,M5 General Purpose 12xlarge,m5d.12xlarge,192,48,1800 GB                 (2 * 900 GB NVMe SSD),12 Gigabit,2.712,$1.7090 hourly,$1.2018 hourly,$4.9200 hourly,$3.9170 hourly
498,R5A 12xlarge,r5a.12xlarge,384,48,EBS only,10 Gigabit,2.712,$1.7090 hourly,$1.3708 hourly,$4.9200 hourly,$3.9170 hourly
499,C6I 16xlarge,c6i.16xlarge,128,64,EBS only,25 Gigabit,2.72,$1.7993 hourly,$1.3195 hourly,$5.6640 hourly,$4.7433 hourly
500,R6A 12xlarge,r6a.12xlarge,384,48,EBS only,18.75 Gigabit,2.7216,$1.8003 hourly,$1.3418 hourly,$4.9296 hourly,$4.0083 hourly
501,C6IN 12xlarge,c6in.12xlarge,96,48,EBS only,75 Gigabit,2.7216,$1.7146 hourly,$1.2800 hourly,$4.9296 hourly,$3.9226 hourly
502,G5G Metal,g5g.metal,128,64,EBS only,25 Gigabit,2.744,$1.7287 hourly,$1.1534 hourly,,
